"facility_id","question_cd","answer_cd","answer_conent","created_at","updated_at"
"1","QA001","AA01001","","2017-12-08","2018-02-13"
"1","QA001","AA01002","","2017-12-08","2018-02-13"
"1","QA001","AA01003","","2017-12-08","2018-02-13"
"1","QA001","AA01004","","2017-12-08","2018-02-13"
"1","QA001","AA01006","","2017-12-08","2018-02-13"
"1","QA001","AA01007","","2017-12-08","2018-02-13"
"1","QA001","AA01008","","2017-12-08","2018-02-13"
"1","QA001","AA01009","","2017-12-08","2018-02-13"
"1","QA001","AA01010","","2017-12-08","2018-02-13"
"1","QA001","AA01011","","2017-12-08","2018-02-13"
"1","QA001","AA01012","","2017-12-08","2018-02-13"
"1","QA001","AA01013","","2017-12-08","2018-02-13"
"1","QA001","AA01014","","2017-12-08","2018-02-13"
"1","QA001","AA01015","","2017-12-08","2018-02-13"
"1","QA001","AA01016","","2017-12-08","2018-02-13"
"1","QA001","AA01017","","2017-12-08","2018-02-13"
"1","QA001","AA01018","","2017-12-08","2018-02-13"
"1","QA001","AA01019","","2017-12-08","2018-02-13"
"1","QA001","AA01021","","2017-12-08","2018-02-13"
"1","QA001","AA01022","","2017-12-08","2018-02-13"
"1","QA003","AA02024","","2017-12-08","2018-02-13"
"1","QA003","AA02025","","2017-12-08","2018-02-13"
"1","QA003","AA02027","","2017-12-08","2018-02-13"
"1","QA003","AA02028","","2017-12-08","2018-02-13"
"1","QA003","AA02036","","2017-12-08","2018-02-13"
"1","QB001","AB01001","","2017-12-08","2018-02-13"
"1","QB001","AB01002","","2017-12-08","2018-02-13"
"1","QB001","AB01003","","2017-12-08","2018-02-13"
"1","QB001","AB01004","","2017-12-08","2018-02-13"
"1","QB002","AB02001","","2017-12-08","2018-02-13"
"1","QB002","AB02003","","2017-12-08","2018-02-13"
"1","QB002","AB02004","","2017-12-08","2018-02-13"
"1","QB002","AB02005","","2017-12-08","2018-02-13"
"1","QB002","AB02007","","2017-12-08","2018-02-13"
"1","QB002","AB02008","","2017-12-08","2018-02-13"
"1","QB002","AB02009","","2017-12-08","2018-02-13"
"1","QB002","AB02010","","2017-12-08","2018-02-13"
"1","QB002","AB02014","","2017-12-08","2018-02-13"
"1","QB003","AZ00000","電話連絡,外来時,FAX連絡,メール連絡,直接面接,往診時","2017-12-08","2018-02-13"
"1","QB005","AB03002","","2017-12-08","2018-02-13"
"1","QB006","AB03002","","2017-12-08","2018-02-13"
"1","QB007","AZ00000","まず当院へご連絡下さい。担当ナースが日程調整を行います。","2017-12-08","2018-02-13"
"1","QB008","AZ00001","","2017-12-08","2018-02-13"
"2","QA001","AA01001","","2017-12-13","2018-03-15"
"2","QA001","AA01002","","2017-12-13","2018-03-15"
"2","QA001","AA01003","","2017-12-13","2018-03-15"
"2","QA001","AA01004","","2017-12-13","2018-03-15"
"2","QA001","AA01007","","2017-12-13","2018-03-15"
"2","QA001","AA01010","","2017-12-13","2018-03-15"
"2","QA001","AA01013","","2017-12-13","2018-03-15"
"2","QA001","AA01014","","2017-12-13","2018-03-15"
"2","QA001","AA01015","","2017-12-13","2018-03-15"
"2","QA001","AA01016","","2017-12-13","2018-03-15"
"2","QA001","AA01018","","2017-12-13","2018-03-15"
"2","QA003","AA02021","","2017-12-13","2018-03-15"
"2","QA003","AA02023","","2017-12-13","2018-03-15"
"2","QA003","AA02024","","2017-12-13","2018-03-15"
