"id","facility_id","question_cd","answer_cd","answer_conent","created_at","updated_at"
"1","1","QA001","AA01001","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"2","1","QA001","AA01002","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"3","1","QA001","AA01003","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"4","1","QA001","AA01004","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"5","1","QA001","AA01006","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"6","1","QA001","AA01007","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"7","1","QA001","AA01008","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"8","1","QA001","AA01009","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"9","1","QA001","AA01010","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"10","1","QA001","AA01011","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"11","1","QA001","AA01012","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"12","1","QA001","AA01013","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"13","1","QA001","AA01014","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"14","1","QA001","AA01015","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"15","1","QA001","AA01016","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"16","1","QA001","AA01017","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"17","1","QA001","AA01018","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"18","1","QA001","AA01019","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"19","1","QA001","AA01021","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"20","1","QA001","AA01022","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"21","1","QA003","AA02024","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"22","1","QA003","AA02025","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"23","1","QA003","AA02027","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"24","1","QA003","AA02028","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"25","1","QA003","AA02036","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"26","1","QB001","AB01001","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"27","1","QB001","AB01002","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"28","1","QB001","AB01003","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"29","1","QB001","AB01004","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"30","1","QB002","AB02001","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"31","1","QB002","AB02003","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"32","1","QB002","AB02004","","2017/12/8 00:00:00","2018/2/13 00:00:00"
"33","1","QB002","AB02005","","2017/12/8 00:00:00","2018/2/13 00:00:00"
