"facility_name","home_care","facility_type_id","postal_code","prefecture_name","city_name","address","latitude","longitude","telphone","fax","representative","homepage","available_time_mon","available_time_tue","available_time_wed","available_time_thu","available_time_fri","available_time_sat","available_time_sun","person","correspondence_dept","correspondence_time","open_24hours","foreign_language","related_facilities","options","note","publish","user_id","created_at","updated_at"
"はえばる北クリニック","1","1",9011103,"沖縄県","島尻郡南風原町","字与那覇２８３",26.2004155,127.7388693,"098-987-0011","098-987-0022","安里　英樹","www.haebaru-kita.jp","14:00-17:00","14:00-17:00",,"14:00-17:00","14:00-17:00","14:00-17:00",,"伊敷　美沙那","内科",,0,0,,,"緊急時は随時対応","1",1,"2017-12-08","2018-02-13"
"通所リハビリテーション　サクラビア",0,"6",9010314,"沖縄県","糸満市","字座波371-1",26.1481162,127.6877378,"098-994-8749","098-994-6917","堀川　義文","https://iwakikai.net/","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","日曜日、年末年始（12/31～1/2）は休み　/　祝日はサービス提供あり（8:30-17:30）","玉城　久美",,,0,0,"介護老人保健施設サクラビア、西崎病院","利用者が明るく、楽しく過ごせるような雰囲気作りに努めています。また、しっかりとしたリハビリテーションが提供できるよう、多くの専門職を配置しています。","介護予防サービスの実施あり。
短時間のサービス提供はなし。","1",1,"2017-12-13","2018-03-15"
"沖縄第一病院訪問介護サービス",0,"9",9011111,"沖縄県","島尻郡南風原町","字兼城642番地の1",26.194913,127.7259764,"098-889-8380","098-835-6166","宮城　信雄","http://www.odh.or.jp","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","瑞慶覧　伸","沖縄第一病院訪問介護サービス",,0,0,"医療法人信和会　沖縄第一病院、介護老人保健施設おおざと信和苑、沖縄第一病院通所介護センター、通所リハビリセンター、ふれあい訪問看護ステーション、有料老人ホームそよかぜ","介護タクシーもやっています。予約がひつようなので前もってご連絡ください。",,"1",1,"2017-12-13","2018-02-13"
"沖縄県立南部医療センターこども医療センター",0,"19",9011193,"沖縄県","島尻郡南風原町","字新川118-1",26.2059478,127.7237454,"098-888-0123",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"勝連病院",0,"19",9010331,"沖縄県","糸満市","真栄平1026番地",26.1158307,127.7145662,"098-997-3104","098-997-4758","松原　卓也",,,,,,,,,"黒澤　幸祐","医療福祉相談室",,0,0,"通所リハビリテーション勝連、居宅支援センター勝連",,,"1",1,"2018-01-04","2018-02-13"
"糸満晴明病院",0,"19",9010334,"沖縄県","糸満市","大渡520",26.0988622,127.7076031,"098-997-2011",,"稲冨　仁",,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"南山病院","1","1",9010313,"沖縄県","糸満市","賀数406-1",26.1519494,127.6922374,"098-994-3660","098-994-2598","譜久原　弘",,,,,,,,,,"地域医療相談室",,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"西崎病院","1","19",9010314,"沖縄県","糸満市","字座波371-1",26.1481162,127.6877378,"098-992-0055",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"白銀病院",0,"19",9010361,"沖縄県","糸満市","糸満2041-5",26.1348887,127.6701584,"098-994-2582","098-994-3307","大城　正人",,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"大浜第二病院","1","1",9010215,"沖縄県","豊見城市","渡嘉敷150番地",26.1727115,127.6834877,"098-851-0103","098-851-0200","田中　康範",,"14：00～17：00","14：00～17：00","14：00～17：00","9：00～12：00　/　14：00～17：00","14：00～17：00",,,,"医療福祉課",,0,0,"有料老人ホームなど",,,"1",1,"2018-01-04","2018-02-13"
"豊見城中央病院",0,"19",9010243,"沖縄県","豊見城市","上田25番地",26.1759052,127.6760904,"098-850-3811",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"沖縄メディカル病院","1","1",9011414,"沖縄県","南城市","佐敷字津波古西原2310番地",26.1867561,127.775398,"098-947-3555","098-947-3335","大山　朝賢",,,,"14：00～17：00",,"14：00～17：00",,,"與座基子","地域連携室",,0,0,"介護老人保健施設「真徳苑」、デイサービス、通所リハビリテーション、訪問看護ステーション、居宅介護支援事業所",,,"1",1,"2018-01-04","2018-02-13"
"与那原中央病院",0,"19",9011303,"沖縄県","島尻郡与那原町","字与那原2905番地",26.2027822,127.7485544,"098-945-8101",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"嬉野が丘サマリヤ人病院",0,"19",9011105,"沖縄県","島尻郡南風原町","新川460番地",26.2103004,127.7281808,"098-889-1328","098-889-0868","山城　義広",,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"沖縄県立精和病院",0,"19",9011105,"沖縄県","島尻郡南風原町","新川260",26.2072673,127.7277505,"098-889-1390",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"久田病院",0,"19",9011101,"沖縄県","島尻郡南風原町","大名275番地",26.2097811,127.7316583,"098-889-3206",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"博愛病院",0,"19",9011105,"沖縄県","島尻郡南風原町","新川485-1",26.2113558,127.7280113,"098-889-4830",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"沖縄第一病院","1","1",9011111,"沖縄県","島尻郡南風原町","兼城642-1",26.194913,127.7259764,"098-888-1151",,,,,,,"14：00～17：00",,,,,"訪問看護",,0,0,"居宅介護支援、介護予防支援、訪問介護、訪問看護、訪問リハビリテーション、デイサービス、デイケア、介護保健施設「信和苑」",,,"1",1,"2018-01-04","2018-02-13"
"南部徳洲会病院","1","19",9010493,"沖縄県","島尻郡八重瀬町","字外間171-1",26.1783869,127.7156257,"098-998-3221",,,,"14：00～17：00",,"14：00～17：00","14：00～17：00","14：00～17：00",,,,"受付",,0,0,"居宅介護支援、介護予防支援、訪問介護、デイサービス、デイケア、訪問リハビリテーション",,,"1",1,"2018-01-04","2018-02-13"
"兼島医院",0,"20",9010361,"沖縄県","糸満市","糸満１５０５－２",26.1257341,127.6741751,"098-992-4850",,,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"安里眼科",0,"20",9010302,"沖縄県","糸満市","潮平７２２",26.1462685,127.6730413,"098-994-1882","098-992-3131",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"かみや母と子のクリニック",0,"20",9010301,"沖縄県","糸満市","阿波根１５５２－２",26.1515875,127.6725996,"098-995-3511","098-995-2877",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"健孝クリニック",0,"20",9010302,"沖縄県","糸満市","潮平７１４－２",26.1463212,127.6727358,"098-994-1177","098-994-1055",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"新垣小児科医院",0,"20",9010302,"沖縄県","糸満市","潮平７０８－２１",26.1460657,127.6715414,"098-992-4050","098-994-0246",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"くでけん小児科",0,"20",9010305,"沖縄県","糸満市","西崎６－１１－８",26.1436158,127.6691277,"098-994-2099","098-994-2099",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"南部整形外科",0,"20",9010302,"沖縄県","糸満市","潮平７１４－２",26.1463212,127.6727358,"098-994-1155","098-994-1155","大城　武",,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"ひめゆりクリニック",0,"20",9010344,"沖縄県","糸満市","伊原１０７－１",26.094737,127.684739,"098-997-3702","098-997-3703","玉城　利昭",,,,,,,,,"當山","事務",,0,0,,,"今後、訪問診療を行うことを検討中","1",1,"2018-01-04","2018-02-13"
"かみやクリニック",0,"20",9010301,"沖縄県","糸満市","阿波根１５５２－２",26.1515875,127.6725996,"098-995-3377","098-995-3377",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"耳鼻咽喉科　かおる医院",0,"20",9010302,"沖縄県","糸満市","潮平７０５－４",26.1455185,127.6720858,"098-994-1133","098-994-1194",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"てるや眼科クリニック",0,"20",9010361,"沖縄県","糸満市","糸満１２６６－１",26.1259201,127.669917,"098-992-0800","098-992-0801",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"ａｍ皮膚科クリニック",0,"20",9010302,"沖縄県","糸満市","潮平７８７－５",26.1508209,127.6713274,"098-995-1212","098-995-1713",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"豆の木クリニック",0,"20",9010302,"沖縄県","糸満市","潮平７６４－１",26.1493376,127.6716219,"098-995-3030","098-995-3131","吉原　邦男",,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"みなみしまクリニック",0,"20",9010302,"沖縄県","糸満市","潮平７８７－1７",26.1509708,127.671433,"098-840-3730","098-840-3731",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"たまき耳鼻咽喉科クリニック",0,"20",9010362,"沖縄県","糸満市","真栄里１４３２－１",26.1208567,127.6714698,"098-995-3387","098-995-3397","玉城三七夫",,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
"きのしたこどもクリニック",0,"20",9010362,"沖縄県","糸満市","真栄里２０３０－３",26.1213705,127.6698671,"098-995-1100","098-995-1001",,,,,,,,,,,,,0,0,,,,"1",1,"2018-01-04","2018-02-13"
