"id","facility_name","home_care","facility_type_id","postal_code","prefecture_name","city_name","address","latitude","longitude","telphone","fax","representative","homepage","available_time_mon","available_time_tue","available_time_wed","available_time_thu","available_time_fri","available_time_sat","available_time_sun","person","correspondence_dept","correspondence_time","open_24hours","foreign_language","related_facilities","options","note","publish","user_id","created_at","updated_at"
"1","はえばる北クリニック","1","1","9011103","沖縄県","島尻郡南風原町","字与那覇２８３","26.200415","127.738869","098-987-0011","098-987-0022","安里　英樹","www.haebaru-kita.jp","14:00-17:00","14:00-17:00","","14:00-17:00","14:00-17:00","14:00-17:00","","伊敷　美沙那","内科","","0","0","","","緊急時は随時対応","1","1","2017/12/8 00:00:00","2018/2/13 00:00:00"
"2","通所リハビリテーション　サクラビア","0","6","9010314","沖縄県","糸満市","字座波371-1","26.148116","127.687738","098-994-8749","098-994-6917","堀川　義文","https://iwakikai.net/","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","日曜日、年末年始（12/31～1/2）は休み　/　祝日はサービス提供あり（8:30-17:30）","玉城　久美","","","0","0","介護老人保健施設サクラビア、西崎病院","利用者が明るく、楽しく過ごせるような雰囲気作りに努めています。また、しっかりとしたリハビリテーションが提供できるよう、多くの専門職を配置しています。","介護予防サービスの実施あり。短時間のサービス提供はなし。","1","1","2017/12/13 00:00:00","2018/3/15 00:00:00"
"3","沖縄第一病院訪問介護サービス","0","9","9011111","沖縄県","島尻郡南風原町","字兼城642番地の1","26.194913","127.725976","098-889-8380","098-835-6166","宮城　信雄","http://www.odh.or.jp","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","瑞慶覧　伸","沖縄第一病院訪問介護サービス","","0","0","医療法人信和会　沖縄第一病院、介護老人保健施設おおざと信和苑、沖縄第一病院通所介護センター、通所リハビリセンター、ふれあい訪問看護ステーション、有料老人ホームそよかぜ","介護タクシーもやっています。予約がひつようなので前もってご連絡ください。","","1","1","2017/12/13 00:00:00","2018/2/13 00:00:00"
"4","沖縄県立南部医療センターこども医療センター","0","19","9011193","沖縄県","島尻郡南風原町","字新川118-1","26.205948","127.723745","098-888-0123","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"5","勝連病院","0","19","9010331","沖縄県","糸満市","真栄平1026番地","26.115831","127.714566","098-997-3104","098-997-4758","松原　卓也","","","","","","","","","黒澤　幸祐","医療福祉相談室","","0","0","通所リハビリテーション勝連、居宅支援センター勝連","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"6","糸満晴明病院","0","19","9010334","沖縄県","糸満市","大渡520","26.098862","127.707603","098-997-2011","","稲冨　仁","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"7","南山病院","1","1","9010313","沖縄県","糸満市","賀数406-1","26.151949","127.692237","098-994-3660","098-994-2598","譜久原　弘","","","","","","","","","","地域医療相談室","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"8","西崎病院","1","19","9010314","沖縄県","糸満市","字座波371-1","26.148116","127.687738","098-992-0055","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"9","白銀病院","0","19","9010361","沖縄県","糸満市","糸満2041-5","26.134889","127.670158","098-994-2582","098-994-3307","大城　正人","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"10","大浜第二病院","1","1","9010215","沖縄県","豊見城市","渡嘉敷150番地","26.172711","127.683488","098-851-0103","098-851-0200","田中　康範","","14：00～17：00","14：00～17：00","14：00～17：00","9：00～12：00　/　14：00～17：00","14：00～17：00","","","","医療福祉課","","0","0","有料老人ホームなど","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
