"answer_group_cd","answer_cd","answer_content"
"AZ00","AZ00000","TEXT"
"AZ00","AZ00001",TRUE
"AZ00","AZ00002",FALSE
"AA01","AA01001","胃瘻の患者"
"AA01","AA01002","ストーマの患者"
"AA01","AA01003","酸素療法をされている患者"
"AA01","AA01004","気管切開をしている患者"
"AA01","AA01005","人工呼吸器装着の患者"
"AA01","AA01006","IVHをしている患者"
"AA01","AA01007","留置カテーテルをしている患者"
"AA01","AA01008","終末期の患者"
"AA01","AA01009","難病の患者"
"AA01","AA01010","障害者の患者"
"AA01","AA01011","小児の患者"
"AA01","AA01012","精神疾患の患者"
"AA01","AA01013","痰の吸引が必要な患者"
"AA01","AA01014","インスリン注射が必要な患者"
"AA01","AA01015","認知症の患者"
"AA01","AA01016","創傷処置の必要な患者"
"AA01","AA01017","褥そう処置の必要な患者"
"AA01","AA01018","経鼻栄養管理"
"AA01","AA01019","腸瘻栄養管理"
"AA01","AA01020","人工透析"
"AA01","AA01021","点滴の必要な患者"
"AA01","AA01022","感染症（肝炎、MRSAなど）"
"AA02","AA02001","名護市"
"AA02","AA02002","国頭村"
"AA02","AA02003","大宜味村"
"AA02","AA02004","東村"
"AA02","AA02005","今帰仁村"
"AA02","AA02006","本部町"
"AA02","AA02007","伊江村"
"AA02","AA02008","伊平屋村"
"AA02","AA02009","伊是名村"
"AA02","AA02010","宜野湾市"
"AA02","AA02011","沖縄市"
"AA02","AA02012","うるま市"
"AA02","AA02013","恩納村"
"AA02","AA02014","宜野座村"
"AA02","AA02015","金武町"
"AA02","AA02016","読谷村"
"AA02","AA02017","嘉手納町"
"AA02","AA02018","北谷町"
"AA02","AA02019","北中城村"
"AA02","AA02020","中城村"
"AA02","AA02021","那覇市"
"AA02","AA02022","浦添市"
"AA02","AA02023","糸満市"
"AA02","AA02024","豊見城市"
"AA02","AA02025","南城市"
"AA02","AA02026","西原町"
"AA02","AA02027","与那原町"
"AA02","AA02028","南風原町"
"AA02","AA02029","渡嘉敷村"
"AA02","AA02030","座間味村"
"AA02","AA02031","粟国村"
"AA02","AA02032","渡名喜村"
"AA02","AA02033","南大東村"
"AA02","AA02034","北大東村"
"AA02","AA02035","久米島町"
"AA02","AA02036","八重瀬町"
"AB01","AB01001","主治医意見書の記載"
"AB01","AB01002","訪問診療"
"AB01","AB01003","かかりつけ患者臨時往診"
"AB01","AB01004","在宅療養診療所の届出"
"AB01","AB01005","今後、訪問診察を行う予定"
"AB02","AB02001","看取り"
"AB02","AB02002","がん末期等の緩和ケア対応"
"AB02","AB02003","中心静脈栄養管理"
"AB02","AB02004","末梢静脈からの点滴管理"
"AB02","AB02005","気管切開管理"
"AB02","AB02006","人工呼吸器管理"
"AB02","AB02007","在宅酸素管理"
"AB02","AB02008","褥そう処置"
"AB02","AB02009","人工肛門の処置、管理"
"AB02","AB02010","膀胱留置カテーテル管理"
"AB02","AB02011","経管栄養管理（経鼻）"
"AB02","AB02012","経管栄養管理（胃瘻）"
"AB02","AB02013","経管栄養管理（腸瘻）"
"AB02","AB02014","インスリン管理"
"AB02","AB02015","透析管理（血液透析）"
"AB02","AB02016","透析管理（腹膜透析）"
"AB02","AB02017","創傷処置"
"AB02","AB02018","吸入・吸引"
"AB02","AB02019","慢性疼痛管理"
"AB02","AB02020","リハビリテーション"
"AB03","AB03001","３０分以内"
"AB03","AB03002","１５分以内"
"AB03","AB03003","困難"
"AC01","AC01001","一般歯科"
"AC01","AC01002","矯正歯科"
"AC01","AC01003","小児歯科"
"AC01","AC01004","歯科口腔外科"
"AC01","AC01005","障害者歯科"
"AC02","AC02001","行っている"
"AC02","AC02002","行っていない"
"AC02","AC02003","今後行う予定"
"AG01","AG01001","介護保険法"
"AG01","AG01002","障害者総合支援法"
"AH01","AH01001","介護老人保健施設（老健）"
"AH01","AH01002","介護老人福祉施設（特養）"
"AH01","AH01003","介護療養型医療施設（療養病床）"
"AH01","AH01004","有料老人ホーム"
"AH01","AH01005","介護付き有料老人ホーム"
"AH01","AH01006","サービス付き高齢者住宅"
"AH01","AH01007","グループホーム"
"AH01","AH01008","経費老人ホーム"
"AZ01","AZ01001","自立"
"AZ01","AZ01002","要支援"
"AZ01","AZ01003","要介護"
"AZ01","AZ01004","生活保護受給者"
"AZ01","AZ01005","キーパーソン不在"
"AZ02","AZ02001","なし"
"AZ02","AZ02002","１人"
"AZ02","AZ02003","２人以上"
