"カテゴリーID","設問コード",
1,"QA001","受け入れ可"
1,"QA002","受け入れ可（その他）"
1,"QA003","訪問、対応地域"
1,"QA004","訪問、対応地域（その他）"
1,"QB001","在宅医療の取り組み"
1,"QB002","在宅管理可能な医療行為"
1,"QB003","医師への面談方法"
1,"QB004","主治医意見書等の連絡先"
1,"QB005","担当者会議へ医師の参加（医療機関で開催の場合）"
1,"QB006","担当者会議へ医師の参加（往診時に開催の場合）"
1,"QB007","他職種の方々への要望"
1,"QB008","認知症サポート医"
2,"QA001","受け入れ可"
2,"QA002","受け入れ可（その他）"
2,"QA003","訪問、対応地域"
2,"QA004","訪問、対応地域（その他）"
2,"QB001","在宅医療の取り組み"
2,"QB002","在宅管理可能な医療行為"
2,"QB003","医師への面談方法"
2,"QB004","主治医意見書等の連絡先"
2,"QB005","担当者会議へ医師の参加（医療機関で開催の場合）"
2,"QB006","担当者会議へ医師の参加（往診時に開催の場合）"
2,"QB007","他職種の方々への要望"
2,"QB008","認知症サポート医"
3,"QA001","受け入れ可"
3,"QA002","受け入れ可（その他）"
3,"QA003","訪問、対応地域"
3,"QA004","訪問、対応地域（その他）"
3,"QB001","在宅医療の取り組み"
3,"QB002","在宅管理可能な医療行為"
3,"QB003","医師への面談方法"
3,"QB004","主治医意見書等の連絡先"
3,"QB005","担当者会議へ医師の参加（医療機関で開催の場合）"
3,"QB006","担当者会議へ医師の参加（往診時に開催の場合）"
3,"QB007","他職種の方々への要望"
3,"QB008","認知症サポート医"
3,"QC001","診療科目"
3,"QC002","診療科目（その他）"
3,"QC003","在宅療養支援歯科診療所の届け出"
3,"QC004","虫歯・歯周病治療"
3,"QC005","入れ歯の修理・作製"
3,"QC006","摂食嚥下・リハビリテーション"
3,"QC007","口腔ケア"
3,"QC008","その他治療"
4,"QA001","受け入れ可"
4,"QA002","受け入れ可（その他）"
4,"QA003","訪問、対応地域"
4,"QA004","訪問、対応地域（その他）"
4,"QF001","小児"
4,"QF002","成人"
4,"QF003","精神"
4,"QZ001","男性スタッフの有無（対応の有無）"
4,"QZ002","土日、祝日の対応"
4,"QZ003","夜間対応"
4,"QZ004","言語聴覚士"
4,"QZ005","作業療法士"
4,"QZ006","理学療法士"
5,"QA001","受け入れ可"
5,"QA002","受け入れ可（その他）"
5,"QA003","訪問、対応地域"
5,"QA004","訪問、対応地域（その他）"
5,"QF001","小児"
5,"QF002","成人"
5,"QF003","精神"
5,"QZ001","男性スタッフの有無（対応の有無）"
5,"QZ002","土日、祝日の対応"
5,"QZ003","夜間対応"
5,"QZ004","言語聴覚士"
5,"QZ005","作業療法士"
5,"QZ006","理学療法士"
6,"QA001","受け入れ可"
6,"QA002","受け入れ可（その他）"
6,"QA003","訪問、対応地域"
6,"QA004","訪問、対応地域（その他）"
6,"QF001","小児"
6,"QF002","成人"
6,"QF003","精神"
6,"QZ001","男性スタッフの有無（対応の有無）"
6,"QZ002","土日、祝日の対応"
6,"QZ003","夜間対応"
6,"QZ004","言語聴覚士"
6,"QZ005","作業療法士"
6,"QZ006","理学療法士"
7,"QA001","受け入れ可"
7,"QA002","受け入れ可（その他）"
7,"QA003","訪問、対応地域"
7,"QA004","訪問、対応地域（その他）"
7,"QE001","特定事業所加算の有無"
7,"QZ001","男性スタッフの有無（対応の有無）"
8,"QA001","受け入れ可"
8,"QA002","受け入れ可（その他）"
8,"QA003","訪問、対応地域"
8,"QA004","訪問、対応地域（その他）"
8,"QE001","特定事業所加算の有無"
8,"QZ001","男性スタッフの有無（対応の有無）"
9,"QA001","受け入れ可"
9,"QA002","受け入れ可（その他）"
9,"QA003","訪問、対応地域"
9,"QA004","訪問、対応地域（その他）"
9,"QG001","通院等乗降介助"
9,"QG002","認定特定行為業務従事者認定"
9,"QG003","利用可能"
9,"QZ001","男性スタッフの有無（対応の有無）"
9,"QZ002","土日、祝日の対応"
9,"QZ003","夜間対応"
10,"QA001","受け入れ可"
10,"QA002","受け入れ可（その他）"
10,"QA003","訪問、対応地域"
10,"QA004","訪問、対応地域（その他）"
10,"QZ002","土日、祝日の対応"
10,"QZ004","言語聴覚士"
10,"QZ005","作業療法士"
10,"QZ006","理学療法士"
14,"QA001","受け入れ可"
14,"QA002","受け入れ可（その他）"
14,"QA003","訪問、対応地域"
14,"QA004","訪問、対応地域（その他）"
14,"QH001","入所施設"
14,"QZ007","２４時間緊急連絡体制 "
14,"QZ008","栄養士の有無 "
14,"QZ009","看護職配置"
14,"QZ010","月額利用料"
14,"QZ011","定員"
14,"QZ012","入所条件"
14,"QZ013","部屋（２人部屋）"
14,"QZ014","部屋（その他）"
14,"QZ015","部屋（個室）"
14,"QZ016","夜間勤務"
13,"QA001","受け入れ可"
13,"QA002","受け入れ可（その他）"
13,"QA003","訪問、対応地域"
13,"QA004","訪問、対応地域（その他）"
13,"QZ007","２４時間緊急連絡体制 "
13,"QZ008","栄養士の有無 "
13,"QZ009","看護職配置"
13,"QZ010","月額利用料"
13,"QZ011","定員"
13,"QZ012","入所条件"
13,"QZ013","部屋（２人部屋）"
13,"QZ014","部屋（その他）"
13,"QZ015","部屋（個室）"
13,"QZ016","夜間勤務"
