facility_name,postal_code,prefecture_name,city_name,address,latitude,longitude
はえばる北クリニック,901-1103,,島尻郡南風原町,字与那覇２８３, 島尻郡南風原町 字与那覇２８３
通所リハビリテーション　サクラビア,901-0314,,糸満市,沖縄県字座波371-1, 糸満市 沖縄県字座波371-1
沖縄第一病院訪問介護サービス,901-1111,,島尻郡南風原町,沖縄県字兼城642番地の1, 島尻郡南風原町 沖縄県字兼城642番地の1
沖縄県立南部医療センターこども医療センター,901-1193,,島尻郡南風原町,字新川118-1, 島尻郡南風原町 字新川118-1
勝連病院,901-0331,,糸満市,真栄平1026番地, 糸満市 真栄平1026番地
糸満晴明病院,901-0334,,糸満市,大渡520, 糸満市 大渡520
南山病院,901-0313,,糸満市,賀数406-1, 糸満市 賀数406-1
西崎病院,901-0314,,糸満市,字座波371-1, 糸満市 字座波371-1
白銀病院,901-0361,,糸満市,糸満2041-5, 糸満市 糸満2041-5
大浜第二病院,901-0215,,豊見城市,渡嘉敷150番地, 豊見城市 渡嘉敷150番地
豊見城中央病院,901-0243,,豊見城市,上田25番地, 豊見城市 上田25番地
沖縄メディカル病院,901-1414,,南城市,佐敷字津波古西原2310番地, 南城市 佐敷字津波古西原2310番地
与那原中央病院,901-1303,,島尻郡与那原町,字与那原2905番地, 島尻郡与那原町 字与那原2905番地
嬉野が丘サマリヤ人病院,901-1105,,島尻郡南風原町,新川460番地, 島尻郡南風原町 新川460番地
沖縄県立精和病院,901-1105,,島尻郡南風原町,新川260, 島尻郡南風原町 新川260
久田病院,901-1101,,島尻郡南風原町,大名275番地, 島尻郡南風原町 大名275番地
博愛病院,901-1105,,島尻郡南風原町,新川485-1, 島尻郡南風原町 新川485-1
沖縄第一病院,901-1111,,島尻郡南風原町,兼城642-1, 島尻郡南風原町 兼城642-1
南部徳洲会病院,901-0493,,島尻郡八重瀬町,字外間171-1, 島尻郡八重瀬町 字外間171-1
兼島医院,901-0361,,糸満市,糸満１５０５－２, 糸満市 糸満１５０５－２
安里眼科,901-0302,,糸満市,潮平７２２, 糸満市 潮平７２２
かみや母と子のクリニック,901-0301,,糸満市,阿波根１５５２－２, 糸満市 阿波根１５５２－２
健孝クリニック,901-0302,,糸満市,潮平７１４－２, 糸満市 潮平７１４－２
新垣小児科医院,901-0302,,糸満市,潮平７０８－２１, 糸満市 潮平７０８－２１
くでけん小児科,901-0305,,糸満市,西崎６－１１－８, 糸満市 西崎６－１１－８
南部整形外科,901-0302,,糸満市,潮平７１４－２, 糸満市 潮平７１４－２
ひめゆりクリニック,901-0344,,糸満市,伊原１０７－１, 糸満市 伊原１０７－１
かみやクリニック,901-0301,,糸満市,阿波根１５５２－２, 糸満市 阿波根１５５２－２
耳鼻咽喉科　かおる医院,901-0302,,糸満市,潮平７０５－４, 糸満市 潮平７０５－４
てるや眼科クリニック,901-0361,,糸満市,糸満１２６６－１, 糸満市 糸満１２６６－１
ａｍ皮膚科クリニック,901-0302,,糸満市,潮平７８７－５, 糸満市 潮平７８７－５
豆の木クリニック,901-0302,,糸満市,潮平７６４－１, 糸満市 潮平７６４－１
みなみしまクリニック,901-0302,,糸満市,潮平７８７－1７, 糸満市 潮平７８７－1７
たまき耳鼻咽喉科クリニック,901-0362,,糸満市,真栄里１４３２－１, 糸満市 真栄里１４３２－１
きのしたこどもクリニック,901-0362,,糸満市,真栄里２０３０－３, 糸満市 真栄里２０３０－３
みんなのクリニック,901-0362,,糸満市,真栄里２０２９－１１, 糸満市 真栄里２０２９－１１
よしかわ整形クリニック,901-0362,,糸満市,真栄里２０３１－４, 糸満市 真栄里２０３１－４
ハートフルクリニック,901-0311,,糸満市,武富１６９－２, 糸満市 武富１６９－２
いしかわ眼科クリニック,901-0242,,豊見城市,高安３１７－１, 豊見城市 高安３１７－１
かでな内科医院,901-0241,,豊見城市,豊見城７５３－２, 豊見城市 豊見城７５３－２
垣花整形外科医院,901-0241,,豊見城市,豊見城１００７－３０, 豊見城市 豊見城１００７－３０
ながみね小児科,901-0212,,豊見城市,平良１０９－１, 豊見城市 平良１０９－１
おなが眼科医院,901-0241,,豊見城市,豊見城４３７－２, 豊見城市 豊見城４３７－２
とよみクリニック,901-0201,,豊見城市,真玉橋１２３, 豊見城市 真玉橋１２３
豊見城医院,901-0235,,豊見城市,名嘉地１１２－１, 豊見城市 名嘉地１１２－１
しいな整形外科,901-0242,,豊見城市,高安３１７－１, 豊見城市 高安３１７－１
しろま小児科医院,901-0241,,豊見城市,豊見城２９４－２, 豊見城市 豊見城２９４－２
豊見城中央病院付属豊崎クリニック,901-0225,,豊見城市,豊崎１－４１２, 豊見城市 豊崎１－４１２
空と海とクリニック,901-0244,,豊見城市,宜保３７０, 豊見城市 宜保３７０
なかまクリニック,901-0241,,豊見城市,豊見城３７２－１, 豊見城市 豊見城３７２－１
なかそね整形外科リハビリクリニック,901-0241,,豊見城市,豊見城４４４－２, 豊見城市 豊見城４４４－２
ゆたか泌尿器科,901-0244,,豊見城市,宜保２８２－３, 豊見城市 宜保２８２－３
田仲医院,901-0244,,豊見城市,宜保１９０, 豊見城市 宜保１９０
とくとくクリニック,901-0241,,豊見城市,豊見城４４４－２, 豊見城市 豊見城４４４－２
高橋クリニック,901-0224,,豊見城市,与根８－１５, 豊見城市 与根８－１５
上地歯科・耳鼻咽喉科,901-0231,,豊見城市,我那覇４７６－１, 豊見城市 我那覇４７６－１
うえず内科クリニック,901-0244,,豊見城市,宜保３１０－１３, 豊見城市 宜保３１０－１３
豊見城中央病院付属健康管理センター,901-0225,,豊見城市,豊崎３－４９, 豊見城市 豊崎３－４９
渡名喜眼科,901-0235,,豊見城市,名嘉地２２０－４, 豊見城市 名嘉地２２０－４
朋友クリニック,901-0243,,豊見城市,上田１－１７, 豊見城市 上田１－１７
松岡医院,901-0213,,豊見城市,字高嶺３９５－５６, 豊見城市 字高嶺３９５－５６
伊佐内科クリニック,901-0201,,豊見城市,字真玉橋２８５－１　とよみメディカルビル４Ｆ, 豊見城市 字真玉橋２８５－１　とよみメディカルビル４Ｆ
愛ホームクリニック,901-0243,,豊見城市,字上田５６５, 豊見城市 字上田５６５
とよみ眼科,901-0201,,豊見城市,字真玉橋２８５－１, 豊見城市 字真玉橋２８５－１
