"facility_id","question_cd","answer_cd","answer_conent","created_at","updated_at"
"1","QA001","AA01001","","2017-12-08","2018-02-13"
"1","QA001","AA01002","","2017-12-08","2018-02-13"
"1","QA001","AA01003","","2017-12-08","2018-02-13"
"1","QA001","AA01004","","2017-12-08","2018-02-13"
"1","QA001","AA01006","","2017-12-08","2018-02-13"
"1","QA001","AA01007","","2017-12-08","2018-02-13"
"1","QA001","AA01008","","2017-12-08","2018-02-13"
"1","QA001","AA01009","","2017-12-08","2018-02-13"
"1","QA001","AA01010","","2017-12-08","2018-02-13"
"1","QA001","AA01011","","2017-12-08","2018-02-13"
"1","QA001","AA01012","","2017-12-08","2018-02-13"
"1","QA001","AA01013","","2017-12-08","2018-02-13"
"1","QA001","AA01014","","2017-12-08","2018-02-13"
"1","QA001","AA01015","","2017-12-08","2018-02-13"
"1","QA001","AA01016","","2017-12-08","2018-02-13"
"1","QA001","AA01017","","2017-12-08","2018-02-13"
"1","QA001","AA01018","","2017-12-08","2018-02-13"
"1","QA001","AA01019","","2017-12-08","2018-02-13"
"1","QA001","AA01021","","2017-12-08","2018-02-13"
"1","QA001","AA01022","","2017-12-08","2018-02-13"
"1","QA003","AA02024","","2017-12-08","2018-02-13"
"1","QA003","AA02025","","2017-12-08","2018-02-13"
"1","QA003","AA02027","","2017-12-08","2018-02-13"
"1","QA003","AA02028","","2017-12-08","2018-02-13"
"1","QA003","AA02036","","2017-12-08","2018-02-13"
"2","QA001","AA01001","","2017-12-13","2018-03-15"
"2","QA001","AA01002","","2017-12-13","2018-03-15"
"2","QA001","AA01003","","2017-12-13","2018-03-15"
"2","QA001","AA01004","","2017-12-13","2018-03-15"
"2","QA001","AA01007","","2017-12-13","2018-03-15"
"2","QA001","AA01010","","2017-12-13","2018-03-15"
"2","QA001","AA01013","","2017-12-13","2018-03-15"
"2","QA001","AA01014","","2017-12-13","2018-03-15"
"2","QA001","AA01015","","2017-12-13","2018-03-15"
"2","QA001","AA01016","","2017-12-13","2018-03-15"
"2","QA001","AA01018","","2017-12-13","2018-03-15"
"2","QA003","AA02021","","2017-12-13","2018-03-15"
"2","QA003","AA02023","","2017-12-13","2018-03-15"
"2","QA003","AA02024","","2017-12-13","2018-03-15"
"2","QA003","AA02025","","2017-12-13","2018-03-15"
"2","QA003","AA02028","","2017-12-13","2018-03-15"
"2","QA003","AA02036","","2017-12-13","2018-03-15"
"3","QA001","AA01008","","2017-12-13","2018-02-13"
"3","QA001","AA01015","","2017-12-13","2018-02-13"
"3","QA003","AA02025","","2017-12-13","2018-02-13"
"3","QA003","AA02027","","2017-12-13","2018-02-13"
"3","QA003","AA02028","","2017-12-13","2018-02-13"
"3","QA003","AA02036","","2017-12-13","2018-02-13"
"10","QA003","AA02021","","2018-01-04","2018-02-13"
"10","QA003","AA02024","","2018-01-04","2018-02-13"
"10","QA003","AA02025","","2018-01-04","2018-02-13"
"10","QA003","AA02028","","2018-01-04","2018-02-13"
"12","QA003","AA02025","","2018-01-04","2018-02-13"
"40","QA003","AA02024","","2018-01-04","2018-02-13"
"118","QA003","AA02023","","2018-01-04","2018-06-05"
"118","QA003","AA02024","","2018-01-04","2018-06-05"
"118","QA003","AA02025","","2018-01-04","2018-06-05"
"118","QA003","AA02036","","2018-01-04","2018-06-05"
"126","QA003","AA02023","","2018-01-04","2018-03-02"
