"facility_name","home_care","facility_type_id","郵便番号","都道府県名","市町村名","住所","マップ_lat","マップ_lng","telphone","fax","representative","homepage","available_time_mon","available_time_tue","available_time_wed","available_time_thu","available_time_fri","available_time_sat","available_time_sun","person","correspondence_dept","correspondence_time","open_24hours","foreign_language","related_facilities","options","note","publish","user_id","created_at","updated_at"
"はえばる北クリニック","1","1",9011103,"沖縄県","島尻郡南風原町","字与那覇２８３",26.2004155,127.7388693,"098-987-0011","098-987-0022","安里　英樹","www.haebaru-kita.jp","14:00-17:00","14:00-17:00",,"14:00-17:00","14:00-17:00","14:00-17:00",,"伊敷　美沙那","内科",,,,,,"緊急時は随時対応","1",,"2017-12-08","2018-02-13"
"通所リハビリテーション　サクラビア",,"6",9010314,"沖縄県","糸満市","字座波371-1",26.1481162,127.6877378,"098-994-8749","098-994-6917","堀川　義文","https://iwakikai.net/","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","日曜日、年末年始（12/31～1/2）は休み　/　祝日はサービス提供あり（8:30-17:30）","玉城　久美",,,,,"介護老人保健施設サクラビア、西崎病院","利用者が明るく、楽しく過ごせるような雰囲気作りに努めています。また、しっかりとしたリハビリテーションが提供できるよう、多くの専門職を配置しています。","介護予防サービスの実施あり。
短時間のサービス提供はなし。","1",,"2017-12-13","2018-03-15"
"沖縄第一病院訪問介護サービス",,"9",9011111,"沖縄県","島尻郡南風原町","字兼城642番地の1",26.194913,127.7259764,"098-889-8380","098-835-6166","宮城　信雄","http://www.odh.or.jp","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","瑞慶覧　伸","沖縄第一病院訪問介護サービス",,,,"医療法人信和会　沖縄第一病院、介護老人保健施設おおざと信和苑、沖縄第一病院通所介護センター、通所リハビリセンター、ふれあい訪問看護ステーション、有料老人ホームそよかぜ","介護タクシーもやっています。予約がひつようなので前もってご連絡ください。",,"1",,"2017-12-13","2018-02-13"
"沖縄県立南部医療センターこども医療センター",,"19",9011193,"沖縄県","島尻郡南風原町","字新川118-1",26.2059478,127.7237454,"098-888-0123",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"勝連病院",,"19",9010331,"沖縄県","糸満市","真栄平1026番地",26.1158307,127.7145662,"098-997-3104","098-997-4758","松原　卓也",,,,,,,,,"黒澤　幸祐","医療福祉相談室",,,,"通所リハビリテーション勝連、居宅支援センター勝連",,,"1",,"2018-01-04","2018-02-13"
"糸満晴明病院",,"19",9010334,"沖縄県","糸満市","大渡520",26.0988622,127.7076031,"098-997-2011",,"稲冨　仁",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"南山病院","1","1",9010313,"沖縄県","糸満市","賀数406-1",26.1519494,127.6922374,"098-994-3660","098-994-2598","譜久原　弘",,,,,,,,,,"地域医療相談室",,,,,,,"1",,"2018-01-04","2018-02-13"
"西崎病院","1","19",9010314,"沖縄県","糸満市","字座波371-1",26.1481162,127.6877378,"098-992-0055",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"白銀病院",,"19",9010361,"沖縄県","糸満市","糸満2041-5",26.1348887,127.6701584,"098-994-2582","098-994-3307","大城　正人",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"大浜第二病院","1","1",9010215,"沖縄県","豊見城市","渡嘉敷150番地",26.1727115,127.6834877,"098-851-0103","098-851-0200","田中　康範",,"14：00～17：00","14：00～17：00","14：00～17：00","9：00～12：00　/　14：00～17：00","14：00～17：00",,,,"医療福祉課",,,,"有料老人ホームなど",,,"1",,"2018-01-04","2018-02-13"
