"名前","住所","緯度","経度"
"はえばる北クリニック","島尻郡南風原町字与那覇２８３",,
"通所リハビリテーション　サクラビア","糸満市字座波371-1",,
"沖縄第一病院訪問介護サービス","島尻郡南風原町字兼城642番地の1",,
"沖縄県立南部医療センターこども医療センター","島尻郡南風原町字新川118-1",,
"勝連病院","糸満市真栄平1026番地",,
"糸満晴明病院","糸満市大渡520",,
"南山病院","糸満市賀数406-1",,
"西崎病院","糸満市字座波371-1",,
"白銀病院","糸満市糸満2041-5",,
"大浜第二病院","豊見城市渡嘉敷150番地",,
"豊見城中央病院","豊見城市上田25番地",,
"沖縄メディカル病院","南城市佐敷字津波古西原2310番地",,
"与那原中央病院","島尻郡与那原町字与那原2905番地",,
"嬉野が丘サマリヤ人病院","島尻郡南風原町新川460番地",,
"沖縄県立精和病院","島尻郡南風原町新川260",,
"久田病院","島尻郡南風原町大名275番地",,
"博愛病院","島尻郡南風原町新川485-1",,
"沖縄第一病院","島尻郡南風原町兼城642-1",,
"南部徳洲会病院","島尻郡八重瀬町字外間171-1",,
"兼島医院","糸満市糸満１５０５－２",,
"安里眼科","糸満市潮平７２２",,
"かみや母と子のクリニック","糸満市阿波根１５５２－２",,
"健孝クリニック","糸満市潮平７１４－２",,
"新垣小児科医院","糸満市潮平７０８－２１",,
"くでけん小児科","糸満市西崎６－１１－８",,
"南部整形外科","糸満市潮平７１４－２",,
"ひめゆりクリニック","糸満市伊原１０７－１",,
"かみやクリニック","糸満市阿波根１５５２－２",,
"耳鼻咽喉科　かおる医院","糸満市潮平７０５－４",,
"てるや眼科クリニック","糸満市糸満１２６６－１",,
"ａｍ皮膚科クリニック","糸満市潮平７８７－５",,
"豆の木クリニック","糸満市潮平７６４－１",,
"みなみしまクリニック","糸満市潮平７８７－1７",,
"たまき耳鼻咽喉科クリニック","糸満市真栄里１４３２－１",,
"きのしたこどもクリニック","糸満市真栄里２０３０－３",,
"みんなのクリニック","糸満市真栄里２０２９－１１",,
"よしかわ整形クリニック","糸満市真栄里２０３１－４",,
"ハートフルクリニック","糸満市武富１６９－２",,
"いしかわ眼科クリニック","豊見城市高安３１７－１",,
"かでな内科医院","豊見城市豊見城７５３－２",,
"垣花整形外科医院","豊見城市豊見城１００７－３０",,
"ながみね小児科","豊見城市平良１０９－１",,
"おなが眼科医院","豊見城市豊見城４３７－２",,
"とよみクリニック","豊見城市真玉橋１２３",,
"豊見城医院","豊見城市名嘉地１１２－１",,
"しいな整形外科","豊見城市高安３１７－１",,
"しろま小児科医院","豊見城市豊見城２９４－２",,
"豊見城中央病院付属豊崎クリニック","豊見城市豊崎１－４１２",,
"空と海とクリニック","豊見城市宜保３７０",,
"なかまクリニック","豊見城市豊見城３７２－１",,
"なかそね整形外科リハビリクリニック","豊見城市豊見城４４４－２",,
"ゆたか泌尿器科","豊見城市宜保２８２－３",,
"田仲医院","豊見城市宜保１９０",,
"とくとくクリニック","豊見城市豊見城４４４－２",,
"高橋クリニック","豊見城市与根８－１５",,
"上地歯科・耳鼻咽喉科","豊見城市我那覇４７６－１",,
"うえず内科クリニック","豊見城市宜保３１０－１３",,
"豊見城中央病院付属健康管理センター","豊見城市豊崎３－４９",,
"渡名喜眼科","豊見城市名嘉地２２０－４",,
"朋友クリニック","豊見城市上田１－１７",,
"松岡医院","豊見城市字高嶺３９５－５６",,
"伊佐内科クリニック","豊見城市字真玉橋２８５－１　とよみメディカルビル４Ｆ",,
"愛ホームクリニック","豊見城市字上田５６５",,
"とよみ眼科","豊見城市字真玉橋２８５－１",,
"さくもと泌尿器科・皮フ科","豊見城市豊見城５４８－１",,
"ぐしこどもクリニック","豊見城市字宜保２９１",,
"かかず耳鼻咽喉科クリニック","豊見城市字真玉橋２８５－１",,
"みなみ耳鼻咽喉科医院","南城市大里仲間１１１２－５",,
"沖縄県立南部医療センター・こども医療センター付属久高診療所","南城市知念字久高２３１－２",,
"みなみ野クリニック","南城市大里字平良２５８４－２",,
"大里こどもクリニック","南城市大里字平良２５４５－１",,
"南城眼科","南城市玉城堀川６９５－１",,
"平田内科医院","南城市大里稲嶺１９９５",,
"ふじた眼科","南城市佐敷字津波古２４９",,
"ゆかる医院","南城市知念字久原６９３　",,
"野原整形外科","島尻郡与那原町上与那原３４１－２",,
"知念耳鼻咽喉科","島尻郡与那原町上与那原３３５－１",,
"又吉皮フ科","島尻郡与那原町与那原１０２１",,
"あおぞら小児科","島尻郡与那原町上与那原３４０－１",,
